N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
149,DL이앤씨,"50,600","1,700",-3.25%,"5,000","19,579","38,694",20.86,"372,909",4.19,N/A,
150,KODEX 200선물인버스2X,"2,620",55,+2.14%,0,"19,053","727,200",2.45,"107,193,203",N/A,N/A,
151,휠라홀딩스,"30,850",850,-2.68%,"1,000","18,742","60,752",38.01,"216,913",8.28,16.20,
152,TIGER 200,"35,105",385,-1.08%,0,"18,711","53,300",0.00,"817,242",N/A,N/A,
153,코오롱인더,"66,400","2,100",-3.07%,"5,000","18,273","27,519",18.22,"165,542",8.89,8.20,
154,현대백화점,"77,700","1,300",-1.65%,"5,000","18,184","23,402",19.54,"48,189",8.72,4.36,
155,롯데칠성,"195,000",500,-0.26%,500,"18,094","9,279",10.72,"21,302",12.48,9.96,
156,효성티앤씨,"416,000","13,000",-3.03%,"5,000","18,003","4,328",9.95,"31,285",2.58,76.22,
157,현대위아,"65,800",600,-0.90%,"5,000","17,894","27,195",7.34,"106,309",32.82,1.96,
158,효성,"84,900",600,+0.71%,"5,000","17,889","21,071",6.46,"30,392",4.40,18.04,
159,LIG넥스원,"80,600","1,400",+1.77%,"5,000","17,732","22,000",8.65,"166,419",13.97,14.63,
160,JB금융지주,"8,840",100,-1.12%,"5,000","17,413","196,983",27.84,"154,621",3.44,12.80,
161,KG스틸,"17,350",200,+1.17%,"5,000","17,352","100,009",0.83,"1,360,496",7.50,17.99,
162,한샘,"73,300",400,+0.55%,"1,000","17,250","23,534",14.00,"60,741",31.99,9.10,
163,동국제강,"18,000",200,+1.12%,"5,000","17,178","95,433",21.56,"303,629",2.16,23.41,
164,대웅,"29,100",200,+0.69%,500,"16,919","58,142",4.46,"59,301",17.08,11.13,
165,농심,"278,000","2,000",+0.72%,"5,000","16,910","6,083",12.74,"18,567",16.28,4.73,
166,한전KPS,"37,200",350,-0.93%,200,"16,740","45,000",5.40,"151,128",22.18,9.12,
167,TIGER 단기통안채,"100,875",20,+0.02%,0,"16,637","16,493",0.72,"4,424,081",N/A,N/A,
168,TIGER 미국S&P500,"12,915",30,-0.23%,0,"16,337","126,500",0.13,"1,252,527",N/A,N/A,
169,오뚜기,"441,500","1,500",-0.34%,"5,000","16,212","3,672",12.18,"4,059",11.11,8.91,
170,대덕전자,"32,750",700,-2.09%,500,"16,184","49,417",17.41,"590,949",19.41,9.55,
171,코스모신소재,"53,600","1,100",-2.01%,"1,000","16,127","30,087",7.08,"537,116",76.79,9.42,
172,동원시스템즈,"54,600",400,-0.73%,"5,000","15,937","29,188",13.02,"15,247",36.87,6.95,
173,LS ELECTRIC,"51,500",300,+0.59%,"5,000","15,450","30,000",14.68,"117,769",15.02,5.86,
174,아이에스동서,"49,950",350,+0.71%,500,"15,431","30,893",5.13,"67,006",8.96,8.69,
175,일진하이솔루스,"42,050","1,350",-3.11%,500,"15,270","36,313",2.73,"105,290",157.49,4.97,
176,신풍제약,"28,150","1,000",-3.43%,500,"14,915","52,985",5.57,"593,305",-84.53,-3.19,
177,LX인터내셔널,"38,400",350,+0.92%,"5,000","14,884","38,760",24.80,"210,177",3.36,22.49,
178,롯데리츠,"6,060",40,+0.66%,500,"14,724","242,969",9.60,"1,097,680",39.87,1.59,
179,PI첨단소재,"50,000",0,0.00%,500,"14,683","29,366",12.37,"109,995",24.63,21.03,
180,DGB금융지주,"8,680",0,0.00%,"5,000","14,682","169,146",49.20,"330,752",2.92,9.63,
181,에스엘,"31,500",250,+0.80%,500,"14,631","46,449",14.06,"126,053",18.20,6.63,
182,ESR켄달스퀘어리츠,"6,860",90,+1.33%,"1,000","14,618","213,089",52.86,"186,013",49.00,1.34,
183,KODEX 단기채권,"103,440",10,-0.01%,0,"14,506","14,024",0.00,"22,352",N/A,N/A,
184,DL,"68,000","2,200",-3.13%,"5,000","14,250","20,956",12.56,"138,192",2.32,26.52,
185,한미반도체,"14,300",100,-0.69%,100,"14,146","98,920",5.57,"289,686",13.65,34.59,
186,TIGER 미국필라델피아반도체나스닥,"10,240",115,-1.11%,0,"14,090","137,600",1.76,"804,380",N/A,N/A,
187,KODEX 종합채권(AA-이상)액티브,"102,990",405,-0.39%,0,"13,907","13,503",0.01,"8,901",N/A,N/A,
188,현대엘리베이,"33,950",500,-1.45%,"5,000","13,857","40,815",30.09,"67,195",13.63,10.62,
189,두산,"83,600","1,100",-1.30%,"5,000","13,814","16,524",11.49,"66,955",95.76,11.08,
190,한국앤컴퍼니,"14,350",100,+0.70%,500,"13,623","94,935",9.75,"68,915",7.64,5.53,
191,아시아나항공,"18,250",550,-2.93%,"5,000","13,580","74,412",7.66,"382,067",-25.07,-47.21,
192,KODEX 2차전지산업,"20,215",20,-0.10%,0,"13,483","66,700",0.80,"896,052",N/A,N/A,
193,롯데렌탈,"36,750",700,-1.87%,"5,000","13,463","36,634",4.87,"71,134",9.23,12.28,
194,TIGER 2차전지테마,"21,065",35,-0.17%,0,"13,366","63,450",1.02,"980,438",N/A,N/A,
195,삼성 레버리지 WTI원유 선물 ETN,"2,635",265,-9.14%,0,"13,280","504,000",0.00,"1,319,952",N/A,N/A,
196,TIGER MSCI Korea TR,"14,250",235,-1.62%,0,"13,181","92,500",4.76,"2,240",N/A,N/A,
197,TIGER 미국테크TOP10 INDXX,"10,310",85,+0.83%,0,"13,078","126,850",0.46,"500,195",N/A,N/A,
198,한일시멘트,"18,800",700,-3.59%,500,"13,021","69,262",3.56,"153,773",20.17,5.89,
199,티와이홀딩스,"25,300",100,-0.39%,500,"12,885","50,929",5.91,"23,789",7.83,11.58,
200,현대두산인프라코어,"6,460",60,+0.94%,"1,000","12,756","197,457",9.35,"944,545",2.77,24.63,
